prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN
0.005,Baseline,-,0.9,-,0.9,0.0,36,1448,4,4581
0.005,Simple,LR,0.9,1.0,0.9,0.0,36,1448,4,4581
0.005,CrossFit,LR,0.9,1.0,0.9,0.0,36,1448,4,4581
0.005,Simple,MLP,0.9,1.0,0.9,0.07,36,1447,4,4582
0.005,CrossFit,MLP,0.9,1.0,0.9,0.0,36,1448,4,4581
0.005,Simple,XGB,0.9,0.99,0.8,57.39,32,617,8,5412
0.005,CrossFit,XGB,0.9,0.99,0.8,57.73,32,612,8,5417
0.006,Baseline,-,0.9,-,0.9,0.0,36,1248,4,4781
0.006,Simple,LR,0.9,1.0,0.9,0.0,36,1248,4,4781
0.006,CrossFit,LR,0.9,1.0,0.9,0.0,36,1248,4,4781
0.006,Simple,MLP,0.9,1.0,0.9,0.0,36,1248,4,4781
0.006,CrossFit,MLP,0.9,1.0,0.9,0.0,36,1248,4,4781
0.006,Simple,XGB,0.9,0.99,0.85,46.39,34,669,6,5360
0.006,CrossFit,XGB,0.9,0.99,0.875,42.79,35,714,5,5315
0.007,Baseline,-,0.875,-,0.875,0.0,35,1087,5,4942
0.007,Simple,LR,0.875,1.0,0.875,0.0,35,1087,5,4942
0.007,CrossFit,LR,0.875,1.0,0.875,0.0,35,1087,5,4942
0.007,Simple,MLP,0.875,1.0,0.875,0.0,35,1087,5,4942
0.007,CrossFit,MLP,0.875,1.0,0.875,0.0,35,1087,5,4942
0.007,Simple,XGB,0.875,0.99,0.85,33.76,34,720,6,5309
0.007,CrossFit,XGB,0.875,0.99,0.825,33.67,33,721,7,5308
0.008,Baseline,-,0.85,-,0.85,0.0,34,981,6,5048
0.008,Simple,LR,0.85,1.0,0.85,0.0,34,981,6,5048
0.008,CrossFit,LR,0.85,1.0,0.85,0.0,34,981,6,5048
0.008,Simple,MLP,0.85,1.0,0.85,0.1,34,980,6,5049
0.008,CrossFit,MLP,0.85,1.0,0.85,0.0,34,981,6,5048
0.008,Simple,XGB,0.85,0.99,0.825,26.1,33,725,7,5304
0.008,CrossFit,XGB,0.85,0.99,0.825,23.75,33,748,7,5281
0.009,Baseline,-,0.825,-,0.825,0.0,33,872,7,5157
0.009,Simple,LR,0.825,1.0,0.825,0.0,33,872,7,5157
0.009,CrossFit,LR,0.825,1.0,0.825,0.0,33,872,7,5157
0.009,Simple,MLP,0.825,1.0,0.825,0.0,33,872,7,5157
0.009,CrossFit,MLP,0.825,1.0,0.825,0.0,33,872,7,5157
0.009,Simple,XGB,0.825,0.99,0.825,14.91,33,742,7,5287
0.009,CrossFit,XGB,0.825,0.99,0.825,12.27,33,765,7,5264
0.01,Baseline,-,0.8,-,0.8,0.0,32,798,8,5231
0.01,Simple,LR,0.8,1.0,0.8,0.0,32,798,8,5231
0.01,CrossFit,LR,0.8,1.0,0.8,0.0,32,798,8,5231
0.01,Simple,MLP,0.8,1.0,0.8,0.0,32,798,8,5231
0.01,CrossFit,MLP,0.8,1.0,0.8,0.0,32,798,8,5231
0.01,Simple,XGB,0.8,0.99,0.8,10.9,32,711,8,5318
0.01,CrossFit,XGB,0.8,0.99,0.8,8.02,32,734,8,5295
0.011,Baseline,-,0.775,-,0.775,0.0,31,731,9,5298
0.011,Simple,LR,0.775,-,<0.80,-,-,-,-,-
0.011,CrossFit,LR,0.775,-,<0.80,-,-,-,-,-
0.011,Simple,MLP,0.775,-,<0.80,-,-,-,-,-
0.011,CrossFit,MLP,0.775,-,<0.80,-,-,-,-,-
0.011,Simple,XGB,0.775,-,<0.80,-,-,-,-,-
0.011,CrossFit,XGB,0.775,-,<0.80,-,-,-,-,-
0.012,Baseline,-,0.775,-,0.775,0.0,31,668,9,5361
0.012,Simple,LR,0.775,-,<0.80,-,-,-,-,-
0.012,CrossFit,LR,0.775,-,<0.80,-,-,-,-,-
0.012,Simple,MLP,0.775,-,<0.80,-,-,-,-,-
0.012,CrossFit,MLP,0.775,-,<0.80,-,-,-,-,-
0.012,Simple,XGB,0.775,-,<0.80,-,-,-,-,-
0.012,CrossFit,XGB,0.775,-,<0.80,-,-,-,-,-
0.013,Baseline,-,0.75,-,0.75,0.0,30,613,10,5416
0.013,Simple,LR,0.75,-,<0.80,-,-,-,-,-
0.013,CrossFit,LR,0.75,-,<0.80,-,-,-,-,-
0.013,Simple,MLP,0.75,-,<0.80,-,-,-,-,-
0.013,CrossFit,MLP,0.75,-,<0.80,-,-,-,-,-
0.013,Simple,XGB,0.75,-,<0.80,-,-,-,-,-
0.013,CrossFit,XGB,0.75,-,<0.80,-,-,-,-,-
0.014,Baseline,-,0.725,-,0.725,0.0,29,568,11,5461
0.014,Simple,LR,0.725,-,<0.80,-,-,-,-,-
0.014,CrossFit,LR,0.725,-,<0.80,-,-,-,-,-
0.014,Simple,MLP,0.725,-,<0.80,-,-,-,-,-
0.014,CrossFit,MLP,0.725,-,<0.80,-,-,-,-,-
0.014,Simple,XGB,0.725,-,<0.80,-,-,-,-,-
0.014,CrossFit,XGB,0.725,-,<0.80,-,-,-,-,-
0.015,Baseline,-,0.725,-,0.725,0.0,29,533,11,5496
0.015,Simple,LR,0.725,-,<0.80,-,-,-,-,-
0.015,CrossFit,LR,0.725,-,<0.80,-,-,-,-,-
0.015,Simple,MLP,0.725,-,<0.80,-,-,-,-,-
0.015,CrossFit,MLP,0.725,-,<0.80,-,-,-,-,-
0.015,Simple,XGB,0.725,-,<0.80,-,-,-,-,-
0.015,CrossFit,XGB,0.725,-,<0.80,-,-,-,-,-
0.016,Baseline,-,0.725,-,0.725,0.0,29,492,11,5537
0.016,Simple,LR,0.725,-,<0.80,-,-,-,-,-
0.016,CrossFit,LR,0.725,-,<0.80,-,-,-,-,-
0.016,Simple,MLP,0.725,-,<0.80,-,-,-,-,-
0.016,CrossFit,MLP,0.725,-,<0.80,-,-,-,-,-
0.016,Simple,XGB,0.725,-,<0.80,-,-,-,-,-
0.016,CrossFit,XGB,0.725,-,<0.80,-,-,-,-,-
0.017,Baseline,-,0.7,-,0.7,0.0,28,461,12,5568
0.017,Simple,LR,0.7,-,<0.80,-,-,-,-,-
0.017,CrossFit,LR,0.7,-,<0.80,-,-,-,-,-
0.017,Simple,MLP,0.7,-,<0.80,-,-,-,-,-
0.017,CrossFit,MLP,0.7,-,<0.80,-,-,-,-,-
0.017,Simple,XGB,0.7,-,<0.80,-,-,-,-,-
0.017,CrossFit,XGB,0.7,-,<0.80,-,-,-,-,-
0.018,Baseline,-,0.675,-,0.675,0.0,27,432,13,5597
0.018,Simple,LR,0.675,-,<0.80,-,-,-,-,-
0.018,CrossFit,LR,0.675,-,<0.80,-,-,-,-,-
0.018,Simple,MLP,0.675,-,<0.80,-,-,-,-,-
0.018,CrossFit,MLP,0.675,-,<0.80,-,-,-,-,-
0.018,Simple,XGB,0.675,-,<0.80,-,-,-,-,-
0.018,CrossFit,XGB,0.675,-,<0.80,-,-,-,-,-
0.019,Baseline,-,0.675,-,0.675,0.0,27,408,13,5621
0.019,Simple,LR,0.675,-,<0.80,-,-,-,-,-
0.019,CrossFit,LR,0.675,-,<0.80,-,-,-,-,-
0.019,Simple,MLP,0.675,-,<0.80,-,-,-,-,-
0.019,CrossFit,MLP,0.675,-,<0.80,-,-,-,-,-
0.019,Simple,XGB,0.675,-,<0.80,-,-,-,-,-
0.019,CrossFit,XGB,0.675,-,<0.80,-,-,-,-,-
0.02,Baseline,-,0.675,-,0.675,0.0,27,379,13,5650
0.02,Simple,LR,0.675,-,<0.80,-,-,-,-,-
0.02,CrossFit,LR,0.675,-,<0.80,-,-,-,-,-
0.02,Simple,MLP,0.675,-,<0.80,-,-,-,-,-
0.02,CrossFit,MLP,0.675,-,<0.80,-,-,-,-,-
0.02,Simple,XGB,0.675,-,<0.80,-,-,-,-,-
0.02,CrossFit,XGB,0.675,-,<0.80,-,-,-,-,-
0.021,Baseline,-,0.675,-,0.675,0.0,27,359,13,5670
0.021,Simple,LR,0.675,-,<0.80,-,-,-,-,-
0.021,CrossFit,LR,0.675,-,<0.80,-,-,-,-,-
0.021,Simple,MLP,0.675,-,<0.80,-,-,-,-,-
0.021,CrossFit,MLP,0.675,-,<0.80,-,-,-,-,-
0.021,Simple,XGB,0.675,-,<0.80,-,-,-,-,-
0.021,CrossFit,XGB,0.675,-,<0.80,-,-,-,-,-
0.022,Baseline,-,0.65,-,0.65,0.0,26,333,14,5696
0.022,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.022,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.022,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.022,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.022,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.022,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.023,Baseline,-,0.65,-,0.65,0.0,26,314,14,5715
0.023,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.023,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.023,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.023,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.023,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.023,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.024,Baseline,-,0.65,-,0.65,0.0,26,295,14,5734
0.024,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.024,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.024,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.024,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.024,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.024,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.025,Baseline,-,0.65,-,0.65,0.0,26,283,14,5746
0.025,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.025,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.025,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.025,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.025,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.025,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.026,Baseline,-,0.65,-,0.65,0.0,26,268,14,5761
0.026,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.026,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.026,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.026,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.026,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.026,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.027,Baseline,-,0.65,-,0.65,0.0,26,248,14,5781
0.027,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.027,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.027,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.027,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.027,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.027,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.028,Baseline,-,0.65,-,0.65,0.0,26,237,14,5792
0.028,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.028,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.028,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.028,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.028,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.028,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.029,Baseline,-,0.65,-,0.65,0.0,26,224,14,5805
0.029,Simple,LR,0.65,-,<0.80,-,-,-,-,-
0.029,CrossFit,LR,0.65,-,<0.80,-,-,-,-,-
0.029,Simple,MLP,0.65,-,<0.80,-,-,-,-,-
0.029,CrossFit,MLP,0.65,-,<0.80,-,-,-,-,-
0.029,Simple,XGB,0.65,-,<0.80,-,-,-,-,-
0.029,CrossFit,XGB,0.65,-,<0.80,-,-,-,-,-
0.03,Baseline,-,0.625,-,0.625,0.0,25,215,15,5814
0.03,Simple,LR,0.625,-,<0.80,-,-,-,-,-
0.03,CrossFit,LR,0.625,-,<0.80,-,-,-,-,-
0.03,Simple,MLP,0.625,-,<0.80,-,-,-,-,-
0.03,CrossFit,MLP,0.625,-,<0.80,-,-,-,-,-
0.03,Simple,XGB,0.625,-,<0.80,-,-,-,-,-
0.03,CrossFit,XGB,0.625,-,<0.80,-,-,-,-,-
0.031,Baseline,-,0.625,-,0.625,0.0,25,196,15,5833
0.031,Simple,LR,0.625,-,<0.80,-,-,-,-,-
0.031,CrossFit,LR,0.625,-,<0.80,-,-,-,-,-
0.031,Simple,MLP,0.625,-,<0.80,-,-,-,-,-
0.031,CrossFit,MLP,0.625,-,<0.80,-,-,-,-,-
0.031,Simple,XGB,0.625,-,<0.80,-,-,-,-,-
0.031,CrossFit,XGB,0.625,-,<0.80,-,-,-,-,-
0.032,Baseline,-,0.625,-,0.625,0.0,25,183,15,5846
0.032,Simple,LR,0.625,-,<0.80,-,-,-,-,-
0.032,CrossFit,LR,0.625,-,<0.80,-,-,-,-,-
0.032,Simple,MLP,0.625,-,<0.80,-,-,-,-,-
0.032,CrossFit,MLP,0.625,-,<0.80,-,-,-,-,-
0.032,Simple,XGB,0.625,-,<0.80,-,-,-,-,-
0.032,CrossFit,XGB,0.625,-,<0.80,-,-,-,-,-
0.033,Baseline,-,0.6,-,0.6,0.0,24,174,16,5855
0.033,Simple,LR,0.6,-,<0.80,-,-,-,-,-
0.033,CrossFit,LR,0.6,-,<0.80,-,-,-,-,-
0.033,Simple,MLP,0.6,-,<0.80,-,-,-,-,-
0.033,CrossFit,MLP,0.6,-,<0.80,-,-,-,-,-
0.033,Simple,XGB,0.6,-,<0.80,-,-,-,-,-
0.033,CrossFit,XGB,0.6,-,<0.80,-,-,-,-,-
0.034,Baseline,-,0.575,-,0.575,0.0,23,166,17,5863
0.034,Simple,LR,0.575,-,<0.80,-,-,-,-,-
0.034,CrossFit,LR,0.575,-,<0.80,-,-,-,-,-
0.034,Simple,MLP,0.575,-,<0.80,-,-,-,-,-
0.034,CrossFit,MLP,0.575,-,<0.80,-,-,-,-,-
0.034,Simple,XGB,0.575,-,<0.80,-,-,-,-,-
0.034,CrossFit,XGB,0.575,-,<0.80,-,-,-,-,-
0.035,Baseline,-,0.575,-,0.575,0.0,23,158,17,5871
0.035,Simple,LR,0.575,-,<0.80,-,-,-,-,-
0.035,CrossFit,LR,0.575,-,<0.80,-,-,-,-,-
0.035,Simple,MLP,0.575,-,<0.80,-,-,-,-,-
0.035,CrossFit,MLP,0.575,-,<0.80,-,-,-,-,-
0.035,Simple,XGB,0.575,-,<0.80,-,-,-,-,-
0.035,CrossFit,XGB,0.575,-,<0.80,-,-,-,-,-
